SKU,committed,totalLocationsQuantity
CR-VDN-STAFF-HIGH-VIS-YELLOW-S,0,0
CR-P31-High-Vis-Yellow-/-Navy-7XL,0,100
CR-V32P-High-Vis-Yellow-M,7,114
CR-T21-High-Vis-Yellow-XL,10,296
CR-P26-High-Vis-Orange-Navy-2XL,2,301
CR-V22P-High-Vis-Yellow-3XL,0,49
CR-V32P-High-Vis-Orange-5XL,0,50
CR-P26-High-Vis-Yellow-Navy-M,0,1
CR-P41-White-/-Grey-S,0,50
CR-V32P-High-Vis-Yellow-3XL,0,87
CR-V32-Pink-S,67,251
CR-V33-High-Vis-Yellow-M,0,150
CR-V22-Red-2XL,64,2560
CR-V22-Pea-Green-M,8,212
CR-V22-Maroon-5XL,0,50
CR-V22-High-Vis-Yellow-5XL,0,345
TG-HHRWA-Red-Free,0,46
CR-F41-High-Vis-Orange-/-Navy-2XL,0,99
CR-F51-High-Vis-Yellow-/-Navy-M,0,0
CR-F22-High-Vis-Yellow-/-Navy-2XL,0,100
RAMO-TP212H-Black-M,0,0
CR-V22-Bottle-Green-2XL,0,99
LW-W05-Pink-S,0,0
RM-T111HD-Black-XL,0,0
CR-V22P-High-Vis-Orange-S,0,36
CR-P46-High-Vis-Yellow-/-Grey-S,0,40
CR-V34-High-Vis-Yellow-/-Navy-XL,0,165
CR-V38-High-Vis-Orange-2XL,0,82
CR-V22-Red-S,2,519
CR-V22-Sun-Yellow-M,1,91
CR-F22-High-Vis-Orange-/-Navy-L,0,100
CR-P46-High-Vis-Yellow-/-Grey-L,0,160
CR-F22-High-Vis-Orange-/-Navy-3XL,0,65
WSK131-Electric-Green-2,0,0
CR-V22-Navy-XL,0,247
CR-V52-High-Vis-Orange-7XL,0,75
CR-V22-Light-Blue-5XL,0,49
CR-P41-High-Vis-Yellow-/-Navy-7XL,0,50
CR-P41-High-Vis-Orange-/-Grey-2XL,0,45
CR-P41-High-Vis-Yellow-/-Grey-3XL,0,49
CR-V22-Pea-Green-XL,5,138
CR-V22-Pea-Green-5XL,0,143
CR-V38-High-Vis-Orange-M,0,20
CR-V22-Black-S,0,179
CR-F22-High-Vis-Yellow-/-Navy-5XL,0,60
LW-W11-High-Vis-Yellow-Grey-XL,0,3
CR-P21-High-Vis-Orange-/-Navy-5XL,0,199
CR-P36-High-Vis-Orange-/-Navy-3XL,0,98
CR-P41-High-Vis-Yellow-/-Grey-5XL,0,51
CR-V12-High-Vis-Orange-8-10,0,148
CR-V22-Royal-M,0,50
CR-V22-White-XS,0,48
CR-V22P-High-Vis-Yellow-S,0,35
CR-V34-High-Vis-Orange-/-Navy-7XL,0,100
CR-V32-Pink-M,68,191
CR-V32P-High-Vis-Orange-XL,1,198
CR-V33-High-Vis-Yellow-XL,0,100
CR-V32P-High-Vis-Orange-7XL,0,0
CR-V22-High-Vis-Orange-7XL,0,102
CR-V22-Royal-5XL,0,46
CR-V37-High-Vis-Red-2XL,10,196
